name,longitude,latitude
PGUC (Bldg # 347),-76.954497,38.987005
ICC (Bldg # 345),-76.953928,38.986092
SFSC (Bldg # 346),-76.953671,38.987164
University of Maryland University College (UMUC),-76.953966,38.98663
Architecture,-76.947759,38.984462
(Bldg # 400),-76.947786,38.983715
(Bldg # 039),-76.947395,38.983486
Van Munching ?,-76.947003,38.983177
(Bldg # 054),-76.946048,38.984407
McKeldin Library,-76.945045,38.986029
(Bldg # 061),-76.946054,38.985316
(Bldg # 063),-76.945528,38.985087
Journalism,-76.944503,38.985245
(Bldg # 051),-76.944997,38.984703
Tydings,-76.943961,38.98487
(Bldg # 040),-76.944149,38.984353
(Bldg # 048),-76.943044,38.985175
(Bldg # 043),-76.94269,38.984603
Skinner,-76.941789,38.984853
Woods,-76.941805,38.9852
(Bldg # 037),-76.942647,38.983961
(Bldg # 038),-76.943586,38.983715
Marie Mount,-76.940689,38.98497
Memorial Chapel,-76.940877,38.984174
College Park LDS Institute of Religion,-76.947421,38.98188
(Bldg # 065),-76.945598,38.984003
(Bldg # 069),-76.945587,38.983761
(Bldg # 070),-76.945791,38.983498
(Bldg # 067),-76.944643,38.983573
(Bldg # 066),-76.944761,38.983248
(Bldg # 072),-76.94497,38.983069
(Bldg # 116),-76.944535,38.983077
South Campus Dining Hall,-76.94365,38.982998
(Bldg # 974),-76.944691,38.982794
(Bldg # 975),-76.944675,38.982106
Susquehanna Hall,-76.943715,38.982114
South Campus Commons,-76.942883,38.982126
(Bldg # 997),-76.942883,38.982844
(Bldg # 031),-76.942652,38.983273
(Bldg # 030),-76.942202,38.983373
(Bldg # 022),-76.941794,38.983286
(Bldg # 015),-76.942266,38.98294
(Bldg # 017),-76.941596,38.982944
(Bldg # 021),-76.941773,38.982614
(Bldg # 016),-76.942143,38.982247
(Bldg # 028),-76.941928,38.981951
(Bldg # 014),-76.940802,38.982548
(Bldg # 023),-76.941311,38.981826
(Bldg # 029),-76.940684,38.982064
SCUB 1 (Bldg # 019),-76.940448,38.982051
(Bldg # 025),-76.940383,38.981588
Allegany,-76.941365,38.981576
(Bldg # 999),-76.941408,38.981305
(Bldg # 998),-76.940373,38.981338
Annapolis,-76.940019,38.98226
Montgomery,-76.939262,38.981885
(Bldg # 401),-76.938849,38.982389
7-11,-76.938559,38.98128
College Park Bike Shop,-76.938769,38.981359
Wawa,-76.938999,38.980788
CVS,-76.938286,38.979895
UPS ?,-76.938785,38.981613
Lee Building,-76.939589,38.985387
Main Administration,-76.939922,38.986054
Reckord Armory,-76.93908,38.986071
Mitchell Building,-76.939638,38.986747
Rossborough Inn,-76.937637,38.985346
Visitor Center,-76.937326,38.986154
(Bldg # 001),-76.935523,38.985838
Police (Bldg # 003),-76.936339,38.985708
Ritchie Colliseum,-76.936526,38.985062
(Bldg # 126),-76.936736,38.984708
(Bldg # 127),-76.936242,38.984662
(Bldg # 128),-76.935679,38.984662
(Bldg # 129),-76.935201,38.984662
(Bldg # 130),-76.934676,38.984612
(Bldg # 131),-76.934225,38.984341
(Bldg # 132),-76.93408,38.983961
(Bldg # 133),-76.93422,38.983573
(Bldg # 134),-76.934681,38.983306
(Bldg # 135),-76.935201,38.983269
(Bldg # 136),-76.935689,38.983269
(Bldg # 137),-76.936263,38.983269
(Bldg # 138),-76.936757,38.983269
(Bldg # 139),-76.937261,38.983227
(Bldg # 007),-76.93695,38.982965
Pollice Substation,-76.935636,38.982539
(Bldg # 172),-76.936124,38.981451
(Bldg # 171),-76.935684,38.981363
(Bldg # 170),-76.935233,38.981255
(Bldg # 176),-76.935325,38.980909
(Bldg # 175),-76.93555,38.980608
(Bldg # 174),-76.935947,38.980667
(Bldg # 173),-76.936392,38.980771
Sororities,-76.935802,38.981021
Fraternity Fields,-76.936022,38.983961
New Leonardtown,-76.933324,38.98417
